Temperature [_ C],Humidity [%],Soil moisture,Reference evapotranspiration,Evapotranspiration,Crop Coefficient,Crop Coefficient stage,Nitrogen [mg/kg],Phosphorus [mg/kg],Potassium,Solar Radiation ghi,Wind Speed,Days of planted,pH,Target
28.79,71.48,333.26,1004.39659,184.905005,1.25,2,115.0,57.0,46.0,311.21,1.74,94,6.86,1
42.612644195532084,84.94911999616892,100.0,73.09321607,574.2698866,1.27,2,76.75766710158135,104.89316478001822,152.41076936686045,791.418744929787,4.331264915946221,65,5.4218954743445,0
28.9,85.8,196.0,50.36490259,37.27002792,0.74,1,106.0,39.0,55.0,732.0,1.44,17,5.04,1
20.04,90.74,307.41,203.7304494,489.9932669,1.18,2,61.0,98.0,107.0,596.41,2.1,100,5.36,1
8.276605689927546,74.67190244530097,100.0,407.9547775,494.3138564,1.24,2,73.61523398965588,54.87342529598544,222.50086476929573,0.0,3.0335391699386745,100,7.399974762657721,0
30.6,62.49,689.74,648.9034812,118.0923972,0.9,2,81.0,40.0,119.0,445.3,3.88,70,4.79,1
28.1,95.0,176.7,805.8693198,280.1773202,1.47,2,103.0,83.0,68.0,609.09,1.02,65,2.22,1
30.0,63.2,237.0,196.8033711,90.52955071,0.46,0,117.0,42.0,58.0,258.0,2.72,9,3.68,1
28.71,90.67,588.74,148.691473,510.8587345,0.83,2,70.0,51.0,135.0,700.57,1.1,90,6.08,1
23.16,93.73,643.16,90.45814531,109.0927827,0.93,2,66.0,97.0,54.0,700.53,3.86,45,4.68,1
21.64769096685777,77.59719061871212,100.0,806.7389749,139.9951121,1.21,2,69.26002368189046,38.22163005468846,4.469043959691632,0.0,0.8784758913641131,100,8.027368595733094,0
21.52,79.91,318.68,857.0710913,381.6967474,0.95,2,88.0,77.0,119.0,245.47,2.11,105,5.72,1
25.28,72.3,659.7,701.5559803,870.9160217,1.34,2,65.0,84.0,95.0,151.22,1.67,65,2.06,1
26.27,62.58,193.94,553.7054455,355.6256375,0.82,2,114.0,86.0,132.0,542.2,2.48,55,6.28,1
25.131356954259495,78.10276104178747,100.0,293.9496383,348.5413363,0.82,2,49.81329282798922,62.22179255918405,81.39476156450732,198.77261771942736,4.725409925819198,62,4.65030210601606,0
19.72,67.9,684.49,288.1886397,380.3931687,1.05,2,92.0,93.0,63.0,5.39,4.18,105,6.94,1
24.28,78.5,644.97,491.3920394,513.5965312,0.85,2,60.0,93.0,75.0,360.18,1.01,100,6.45,1
41.31847580275589,100.0,0.0,450.3835191,830.8500488,1.01,2,6.229129915385748,101.27200546439968,86.06846856102462,457.9375491486919,2.3726058859579506,100,1.3051141450813226,0
19.55,66.52,470.5,928.8649447,731.3715075,0.93,2,62.0,86.0,57.0,440.08,3.03,45,6.62,1
28.9,83.7,213.0,1.868697314,1.376607021,0.75,1,117.0,42.0,58.0,203.0,1.02,17,3.68,1
31.55,68.04,676.22,628.7637501,249.0230276,0.89,2,87.0,90.0,92.0,83.58,1.78,62,5.97,1
24.71721509970334,83.3424310041994,100.0,92.87912485,293.1508923,0.95,2,52.11116611586723,132.24927989947048,108.31921169207838,412.0924756443899,3.6564123399904043,100,4.000092556254053,0
38.196652232418586,55.14112997104907,100.0,532.7246669,58.02106273,1.17,2,90.67349736134125,81.15306635123133,39.32221602521045,0.0,5.355550321804671,62,6.113109561865262,0
20.16,85.58,439.37,103.8855525,161.5007285,0.91,2,111.0,68.0,52.0,239.02,2.08,110,2.17,1
23.350023173945765,66.08435246038782,100.0,520.5287536,754.0479156,1.41,2,41.05243329258178,7.761717225821876,120.07015493557888,1137.1304751167215,0.9338485928752613,100,4.6542623645077486,0
36.200274857866034,76.90021188738159,100.0,173.7314526,540.2485281,0.96,2,65.23818753982167,155.29370947495826,101.16057285969211,351.96490610663034,2.4161980916494863,70,4.004927644538837,0
23.5,85.99,192.98,814.0131938,327.784297,1.01,2,61.0,48.0,78.0,240.65,3.72,100,3.87,1
19.951034215664947,99.68511810138712,27.041913238875907,1072.015132,805.9167458,1.39,2,143.65448510948792,72.19361163330628,175.81099887146712,27.37421205812899,4.521613620505484,110,3.9635901363786474,0
32.13294932488226,75.46158152743584,100.0,50.36490259,37.27002792,0.74,1,139.60920963455877,50.69545007099437,9.500380082785519,814.5090123232625,0.0,17,1.5344445854237128,0
15.618149205573694,65.67315954593349,100.0,543.7768298,28.83155858,1.12,2,49.801290593365806,95.63385696586762,174.49368985657048,0.0,3.578415503744777,62,5.157271594763688,0
32.52216811911987,100.0,100.0,849.9026016,266.8491885,0.88,2,71.4972584443799,50.12382757357665,52.34918090780671,283.643605869748,2.3035040941682783,105,0.0,0
28.27797821080481,86.03569277742588,100.0,162.2613249,823.0317472,1.12,2,103.17365260708584,53.973827734337135,173.13775309564897,498.1979961748749,0.0,100,0.9981332928621951,0
33.94191384760326,85.55286480524857,100.0,837.7908244,371.3793475,1.2,2,114.229183517541,54.60059771936448,107.4657467942858,0.0,4.544618198389969,70,3.8631779747713537,0
27.92,83.61,571.58,607.8043762,354.8425513,1.41,2,114.0,54.0,56.0,543.55,2.18,85,4.55,1
24.84,60.5,597.16,43.6541775,424.5793553,1.32,2,99.0,81.0,67.0,190.42,4.05,100,4.17,1
28.8,78.9,265.0,35.92965567,15.80904849,0.44,0,107.0,37.0,50.0,43.0,1.93,6,3.57,1
18.17782845504421,59.10882727834549,100.0,199.8834215,551.0716606,0.86,2,88.26082498423375,83.72152488262721,176.14952246951879,843.5903554393738,1.4476088640115057,65,2.6448158356216136,0
20.61,76.9,141.67,828.8784635,426.7578161,0.83,2,110.0,104.0,73.0,352.01,4.05,105,4.55,1
30.31948740454746,59.816523229026984,100.0,1017.851833,584.0883604,1.07,2,56.74382215117507,59.722111151077364,172.87634579906018,319.6409968916033,2.4059209435044413,105,6.635384850792395,0
23.32,81.35,607.3,804.4081368,68.68282086,1.09,2,114.0,89.0,120.0,658.7,1.22,110,2.26,1
20.04,77.71,247.16,1071.854373,221.4824883,1.47,3,77.0,92.0,110.0,430.68,3.87,120,5.1,1
19.64,94.15,404.18,498.1776588,392.7326677,1.47,2,114.0,58.0,136.0,380.88,1.52,70,5.36,1
28.9,85.8,196.0,50.36490259,37.27002792,0.74,1,106.0,39.0,55.0,792.0,1.07,22,4.42,1
33.2961507177447,83.74912326209352,100.0,569.3293915,754.0264281,0.81,1,138.7103387237416,81.46246552978326,126.19088304706086,532.9375801305827,6.1280851454741185,35,3.426655856600362,0
33.52557679101659,65.08094732730575,100.0,450.3181115,510.619151,1.49,2,141.1710617718033,-5.280802463165209,48.37295059485608,0.0,2.300479997343229,94,5.829646023315819,0
23.21790445216927,54.22454726796516,100.0,846.4946537,6.607450446,0.82,2,65.07599327553808,43.559952161130646,125.8164364529442,427.44923487867436,2.4067612580194115,65,2.3110479081059117,0
26.21426984633395,100.0,100.0,377.1922244,642.0078552,1.05,2,154.07000893698844,81.56669418152579,94.20014027673429,517.9771724896543,4.6999250001259965,100,6.448581314864246,0
22.6066465725802,96.24089348029807,100.0,706.1059434,484.3192248,0.83,2,32.391626620523446,48.31253990598526,73.56834028207788,434.9236359737178,4.470756227340731,65,3.8141603162243167,0
31.52,66.16,244.97,902.8168401,795.2534878,0.94,2,87.0,106.0,125.0,204.13,1.03,90,6.56,1
28.8,78.2,265.0,35.96618254,15.82512032,0.44,0,107.0,37.0,50.0,43.0,1.93,6,3.56,1
21.71,71.25,634.17,1046.457025,411.2784776,1.31,2,90.0,100.0,121.0,87.98,2.86,65,2.19,1
27.99,90.11,333.85,648.2082774,892.9804554,1.29,2,84.0,75.0,111.0,653.49,1.92,65,3.04,1
26.08,85.74,451.52,1030.355133,398.9484413,0.82,2,105.0,99.0,102.0,657.96,3.91,62,3.8,1
19.72139190756802,74.31144419425577,100.0,400.0705125,835.4111975,0.89,2,72.08266348542459,129.79976691494397,75.97830654994195,747.0790762710587,5.118980769359068,55,6.0868514839347085,0
