epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.2249,1.077,2.62789,1.629,0.44401,0.69759,0.56162,0.33133,1.40286,1.93138,2.64673,0.000328947,0.000328947,0.000328947
2,78.3597,1.0671,1.55146,1.57376,0.39112,0.65404,0.42314,0.23178,1.46274,2.18211,2.88652,0.000655724,0.000655724,0.000655724
3,104.356,1.13029,1.41425,1.62614,0.69103,0.4079,0.44982,0.22267,1.67004,2.14929,2.62375,0.000975901,0.000975901,0.000975901
4,129.521,1.1604,1.40125,1.64423,0.33543,0.41391,0.41308,0.20043,2.12899,2.63771,3.31038,0.0009703,0.0009703,0.0009703
5,155.502,1.12759,1.35734,1.61861,0.53995,0.56552,0.58266,0.32589,1.63798,1.68376,2.57144,0.0009604,0.0009604,0.0009604
6,181.699,1.07126,1.19843,1.56859,0.81059,0.52797,0.74342,0.50062,1.13409,1.67084,2.02812,0.0009505,0.0009505,0.0009505
7,207.901,1.05906,1.21218,1.57454,0.75329,0.53115,0.67097,0.30767,1.57638,1.71506,2.30569,0.0009406,0.0009406,0.0009406
8,234.027,1.05765,1.12669,1.56096,0.65327,0.84371,0.83849,0.57296,1.0742,0.95985,1.95119,0.0009307,0.0009307,0.0009307
9,259.252,1.06771,1.10975,1.57348,0.70134,0.72996,0.7975,0.50628,1.20793,1.34485,2.12794,0.0009208,0.0009208,0.0009208
10,285.168,1.05287,1.1044,1.53961,0.53173,0.59313,0.62617,0.39456,1.16529,1.77084,1.99246,0.0009109,0.0009109,0.0009109
11,311.369,1.01347,1.04362,1.52172,0.69481,0.84907,0.84013,0.5842,1.06001,1.25178,1.92908,0.000901,0.000901,0.000901
12,337.773,1.04721,1.08269,1.55167,0.79047,0.84654,0.8892,0.63575,1.01185,0.79465,1.88119,0.0008911,0.0008911,0.0008911
